PAK,Objekti,Broj spratova,Domacinstva,Pravna lica stan,Pravna lica lokal,Pravna lica,Korisnici,Liftovi,Sanducici,O,OS,R,RS,AR,ARS,PU,TR10,V,Votk,Ropt,Rino,TG,Posiljke
400138,9,37,112,48,15,63,175,1,94,778,360,97,11,10,212,3,1,1,3,1,7,0,1484
400139,2,12,51,5,13,18,69,2,39,411,125,28,2,14,49,2,3,0,1,0,2,0,637
400201,4,21,56,15,7,22,78,4,53,390,162,55,7,13,252,3,6,1,0,1,1,0,891
400202,6,31,104,8,4,12,116,1,97,620,205,37,0,5,28,0,8,1,0,0,1,0,905
400203,1,9,81,20,4,24,105,1,71,434,245,44,0,21,93,1,12,0,0,1,2,0,853
400208,2,9,15,1,2,3,18,1,13,106,24,14,0,3,3,0,0,1,0,0,0,0,151
400209,4,20,54,3,0,3,57,3,53,390,33,13,2,4,30,0,9,1,0,1,2,0,485
400210,4,18,55,4,15,19,74,3,57,468,235,47,11,8,16,1,11,3,0,0,2,0,802
400231,1,3,0,1,1,2,2,0,0,28,82,18,8,1,6,0,0,1,0,0,0,0,144
400301,6,23,83,33,0,33,116,1,75,662,186,45,6,12,123,0,1,1,0,1,1,0,1038
400302,5,17,69,5,1,6,75,0,63,343,142,34,0,3,17,17,2,1,0,0,0,0,559
400303,10,47,122,12,2,14,136,4,116,749,161,36,2,11,134,2,6,2,1,1,5,0,1110
400304,3,10,24,8,2,10,34,0,18,221,64,31,6,7,21,0,1,16,0,0,0,0,367
400305,1,2,0,0,1,1,1,0,0,2,176,16,0,1,3,0,1,0,0,0,0,0,199
400306,4,14,38,4,0,4,42,0,30,330,49,14,0,1,14,0,4,1,1,0,0,0,414
400307,4,13,33,2,0,2,35,0,32,220,27,6,0,2,12,3,4,1,0,0,2,0,277
400308,6,25,58,8,1,9,67,1,59,465,105,38,2,11,95,4,6,0,1,0,4,0,731
400309,3,9,29,8,0,8,37,0,32,203,83,13,0,6,11,0,0,1,0,0,0,0,317
400310,3,7,23,4,1,5,28,0,17,157,54,12,0,3,27,1,0,0,0,5,1,0,260
400311,5,13,29,4,0,4,33,0,22,189,110,15,0,0,8,0,10,0,0,0,1,0,333
400312,2,8,29,2,3,5,34,0,22,194,87,10,0,2,19,0,0,0,0,0,5,0,317
400317,2,14,39,9,6,15,54,2,12,367,26,20,0,11,45,0,0,0,1,0,2,0,472
400318,7,20,55,11,9,20,75,3,53,581,47,53,9,4,25,1,3,2,0,1,0,0,726
400319,3,12,26,4,1,5,31,2,26,371,0,13,0,4,21,1,0,0,0,0,2,0,412
400320,6,25,67,5,0,5,72,2,67,678,0,21,0,2,9,1,6,0,0,0,1,0,718
400321,2,10,20,3,0,3,23,2,20,274,0,12,0,3,10,0,0,0,1,0,0,0,300
400322,1,6,15,1,6,7,22,1,15,220,12,8,0,0,4,1,0,0,0,0,0,0,245
400323,2,8,32,9,9,18,50,1,32,341,228,31,13,14,18,0,0,1,0,1,0,0,647
400324,2,5,0,6,1,7,7,0,0,71,160,19,35,9,24,0,0,0,0,1,0,0,319
400329,4,19,54,1,11,12,66,3,54,383,0,10,0,2,11,0,0,0,0,0,2,0,408
400330,4,27,91,10,19,29,120,4,90,880,127,41,13,15,18,0,2,0,0,0,1,1,1097
400331,5,23,94,10,2,12,106,1,94,875,304,36,80,25,44,1,5,0,0,0,5,0,1375
400332,5,18,43,4,0,4,47,0,43,520,14,13,0,3,22,1,1,0,0,0,0,0,574
400333,6,33,108,5,6,11,119,3,108,949,11,27,1,8,24,0,10,0,2,1,2,0,1035
